path,status,links,buttons,forms,inputs,bare_internal_links,final_url
"/es/agenda",200,22,6,0,0,0,"https://nexa.paragu-ai.com/es/agenda"
"/en/agenda",200,22,6,0,0,0,"https://nexa.paragu-ai.com/en/agenda"
"/nl/agenda",200,22,6,0,0,0,"https://nexa.paragu-ai.com/nl/agenda"
"/de/agenda",200,22,6,0,0,0,"https://nexa.paragu-ai.com/de/agenda"
"/es/asistente",200,22,2,0,0,0,"https://nexa.paragu-ai.com/es/asistente"
"/en/asistente",200,22,2,0,0,0,"https://nexa.paragu-ai.com/en/asistente"
"/nl/asistente",200,22,2,0,0,0,"https://nexa.paragu-ai.com/nl/asistente"
"/de/asistente",200,22,2,0,0,0,"https://nexa.paragu-ai.com/de/asistente"
"/es/benelux",200,22,10,0,1,0,"https://nexa.paragu-ai.com/es/benelux"
"/en/benelux",200,22,10,0,1,0,"https://nexa.paragu-ai.com/en/benelux"
"/nl/benelux",200,22,10,0,1,0,"https://nexa.paragu-ai.com/nl/benelux"
"/de/benelux",200,22,10,0,1,0,"https://nexa.paragu-ai.com/de/benelux"
"/es/blog",200,31,20,0,1,0,"https://nexa.paragu-ai.com/es/blog"
"/en/blog",200,31,20,0,1,0,"https://nexa.paragu-ai.com/en/blog"
"/nl/blog",200,31,18,0,1,0,"https://nexa.paragu-ai.com/nl/blog"
"/de/blog",200,31,20,0,1,0,"https://nexa.paragu-ai.com/de/blog"
"/es/calidad-de-vida",200,22,2,0,0,0,"https://nexa.paragu-ai.com/es/calidad-de-vida"
"/en/calidad-de-vida",200,22,2,0,0,0,"https://nexa.paragu-ai.com/en/calidad-de-vida"
"/nl/calidad-de-vida",200,22,2,0,0,0,"https://nexa.paragu-ai.com/nl/calidad-de-vida"
"/de/calidad-de-vida",200,22,2,0,0,0,"https://nexa.paragu-ai.com/de/calidad-de-vida"
"/es/casos-de-exito",200,22,2,0,0,0,"https://nexa.paragu-ai.com/es/casos-de-exito"
"/en/casos-de-exito",200,22,2,0,0,0,"https://nexa.paragu-ai.com/en/casos-de-exito"
"/nl/casos-de-exito",200,22,2,0,0,0,"https://nexa.paragu-ai.com/nl/casos-de-exito"
"/de/casos-de-exito",200,22,2,0,0,0,"https://nexa.paragu-ai.com/de/casos-de-exito"
"/es/comparacion",200,22,2,0,0,0,"https://nexa.paragu-ai.com/es/comparacion"
"/en/comparacion",200,22,2,0,0,0,"https://nexa.paragu-ai.com/en/comparacion"
"/nl/comparacion",200,22,2,0,0,0,"https://nexa.paragu-ai.com/nl/comparacion"
"/de/comparacion",200,22,2,0,0,0,"https://nexa.paragu-ai.com/de/comparacion"
"/es/comparar",200,22,2,0,0,0,"https://nexa.paragu-ai.com/es/comparar"
"/en/comparar",200,22,2,0,0,0,"https://nexa.paragu-ai.com/en/comparar"
"/nl/comparar",200,22,2,0,0,0,"https://nexa.paragu-ai.com/nl/comparar"
"/de/comparar",200,22,2,0,0,0,"https://nexa.paragu-ai.com/de/comparar"
"/es/contacto",200,26,2,0,0,1,"https://nexa.paragu-ai.com/es/contacto"
"/en/contacto",200,26,2,0,0,1,"https://nexa.paragu-ai.com/en/contacto"
"/nl/contacto",200,26,2,0,0,1,"https://nexa.paragu-ai.com/nl/contacto"
"/de/contacto",200,26,2,0,0,1,"https://nexa.paragu-ai.com/de/contacto"
"/es/datos-personales",200,22,2,0,0,0,"https://nexa.paragu-ai.com/es/datos-personales"
"/en/datos-personales",200,22,2,0,0,0,"https://nexa.paragu-ai.com/en/datos-personales"
"/nl/datos-personales",200,22,2,0,0,0,"https://nexa.paragu-ai.com/nl/datos-personales"
"/de/datos-personales",200,22,2,0,0,0,"https://nexa.paragu-ai.com/de/datos-personales"
"/es/deutschland",200,22,2,0,0,0,"https://nexa.paragu-ai.com/es/deutschland"
"/en/deutschland",200,22,2,0,0,0,"https://nexa.paragu-ai.com/en/deutschland"
"/nl/deutschland",200,22,2,0,0,0,"https://nexa.paragu-ai.com/nl/deutschland"
"/de/deutschland",200,23,2,0,0,0,"https://nexa.paragu-ai.com/de/deutschland"
"/es/empresa",200,25,2,0,0,0,"https://nexa.paragu-ai.com/es/empresa"
"/en/empresa",200,25,2,0,0,0,"https://nexa.paragu-ai.com/en/empresa"
"/nl/empresa",200,25,2,0,0,0,"https://nexa.paragu-ai.com/nl/empresa"
"/de/empresa",200,25,2,0,0,0,"https://nexa.paragu-ai.com/de/empresa"
"/es/familias",200,23,2,0,0,0,"https://nexa.paragu-ai.com/es/familias"
"/en/familias",200,23,2,0,0,0,"https://nexa.paragu-ai.com/en/familias"
