search_term,search_country,site,title,company,location,date_posted,min_amount,max_amount,currency,job_url,description
content manager editorial,Spain,linkedin,Freelance English Writer - AI Trainer,Mindrift,,2026-04-27,,,,https://www.linkedin.com/jobs/view/4407423304,
content manager editorial,Spain,linkedin,Freelance English Writer - AI Trainer,Mindrift,"Barcelona, Catalonia, Spain",2026-04-27,,,,https://www.linkedin.com/jobs/view/4407415316,
content manager editorial,Spain,linkedin,Freelance English Writer - AI Trainer,Mindrift,"Valencia, Valencian Community, Spain",2026-04-27,,,,https://www.linkedin.com/jobs/view/4407416344,
content manager editorial,Spain,linkedin,Freelance English Writer - AI Trainer,Mindrift,"Madrid, Community of Madrid, Spain",2026-04-27,,,,https://www.linkedin.com/jobs/view/4407403506,
diseñadora gráfica libros,Spain,linkedin,Graphic Designer,Talent Global LLC,,2026-04-26,,,,https://www.linkedin.com/jobs/view/4402310163,
responsable contenidos culturales,Spain,linkedin,Senior Sponsorship Manager,Fever,"Madrid, Community of Madrid, Spain",2026-04-26,,,,https://www.linkedin.com/jobs/view/4347923499,
responsable contenidos culturales,Spain,linkedin,Founding Senior Product Manager (German-speaking),Instaffo,"Barcelona, Catalonia, Spain",2026-04-26,,,,https://www.linkedin.com/jobs/view/4385537400,
responsable contenidos culturales,Spain,linkedin,SAP Tricentis / Tosca Testing Management - EY GDS Spain - Hybrid,Universia España,"Málaga, Andalusia, Spain",2026-04-25,,,,https://www.linkedin.com/jobs/view/4404174693,
responsable contenidos culturales,Spain,linkedin,Senior Analytics Engineering Manager,Monzo Bank,"Barcelona, Catalonia, Spain",2026-04-25,,,,https://www.linkedin.com/jobs/view/4393876289,
diseñadora gráfica libros,Spain,linkedin,Graphic Design Expert (SME) - Freelance Project,"Meridial Marketplace, by Invisible",,2026-04-24,,,,https://www.linkedin.com/jobs/view/4314156895,
marketing editorial Colombia,Colombia,linkedin,Content Marketing Manager,Jobgether,,2026-04-24,,,,https://www.linkedin.com/jobs/view/4405084933,
content manager editorial,Spain,linkedin,Project Manager / Content Manager,Jobgether,,2026-04-24,,,,https://www.linkedin.com/jobs/view/4405303591,
content manager editorial,Spain,linkedin,Content Marketing Manager,Jobgether,,2026-04-24,,,,https://www.linkedin.com/jobs/view/4405090777,
content manager editorial,Spain,linkedin,Bilingual AI Content Writer,DataAnnotation,,2026-04-24,,,,https://www.linkedin.com/jobs/view/4304434378,
content manager editorial,Spain,linkedin,Freelance Bilingual Content Writer,DataAnnotation,,2026-04-23,,,,https://www.linkedin.com/jobs/view/4304441327,
marketing editorial Colombia,Colombia,linkedin,Freelance Brand Messaging Strategist,BRIGHTSCOUT,,2026-04-23,,,,https://www.linkedin.com/jobs/view/4405617522,
diseñadora gráfica libros,Spain,linkedin,AWWG Graphic Designer - Hackett & Façonnable (Madrid),BoF Careers,"Madrid, Community of Madrid, Spain",2026-04-23,,,,https://www.linkedin.com/jobs/view/4404730677,
marketing editorial Colombia,Colombia,linkedin,Social Media Content Evaluator,Alignerr,,2026-04-22,,,,https://www.linkedin.com/jobs/view/4404922731,
marketing editorial Colombia,Colombia,linkedin,Marketing Manager (Brand),Revolut,,2026-04-22,,,,https://www.linkedin.com/jobs/view/4392871623,
diseñadora gráfica libros,Spain,linkedin,AI Graphic Designer,Superside,,2026-04-22,,,,https://www.linkedin.com/jobs/view/4404456955,
diseñadora gráfica libros,Spain,linkedin,Visual & Graphic Design Expert (Fully Remote) - AI Trainer,Prolific,,2026-04-22,,,,https://www.linkedin.com/jobs/view/4404279761,
responsable contenidos culturales,Spain,linkedin,Strategic Projects Senior Manager,HBX Group,,2026-04-22,,,,https://www.linkedin.com/jobs/view/4402436741,
responsable contenidos culturales,Spain,linkedin,Senior AI Vertical Mini-Series Director,Jobgether,,2026-04-21,,,,https://www.linkedin.com/jobs/view/4403915386,
content manager editorial,Spain,linkedin,Affiliate Content Manager for Web3 Media,BeInCrypto,,2026-04-20,,,,https://www.linkedin.com/jobs/view/4401621235,
content manager editorial,Spain,linkedin,Content Writer,PSI CRO,"Madrid, Community of Madrid, Spain",2026-04-20,,,,https://www.linkedin.com/jobs/view/4392502432,
content manager editorial,Spain,linkedin,Copywriter B2B,Fever,"Madrid, Community of Madrid, Spain",2026-04-20,,,,https://www.linkedin.com/jobs/view/4395059562,
responsable contenidos culturales,Spain,linkedin,Senior CRM Manager,Social Discovery Group,,2026-04-20,,,,https://www.linkedin.com/jobs/view/4395045957,
responsable contenidos culturales,Spain,linkedin,Senior AI Vertical Mini-Series Director (Freelance - Full Remote - Spain),EverAI,,2026-04-20,,,,https://www.linkedin.com/jobs/view/4404317640,
responsable contenidos culturales,Spain,linkedin,Manager/Senior Manager - Corporate Events,Veeva Systems,,2026-04-20,,,,https://www.linkedin.com/jobs/view/4385672815,
marketing editorial Colombia,Colombia,linkedin,Video Editor,Gallagher,,2026-04-18,,,,https://www.linkedin.com/jobs/view/4391717336,
marketing editorial Colombia,Colombia,linkedin,Creative Editorial Director,Addi,,2026-04-18,,,,https://www.linkedin.com/jobs/view/2148452293,
content manager editorial,Spain,linkedin,Digital Marketing Manager -Amàre Caribe Méxicano,Fuerte Group,"Marbella, Andalusia, Spain",2026-04-18,,,,https://www.linkedin.com/jobs/view/4403570898,
content manager editorial,Spain,linkedin,Content Marketing Manager,Air Apps,,2026-04-17,,,,https://www.linkedin.com/jobs/view/4403460399,
responsable contenidos culturales,Spain,linkedin,Senior Global Trial Manager,IQVIA,"Madrid, Community of Madrid, Spain",2026-04-17,,,,https://www.linkedin.com/jobs/view/4402716907,
responsable contenidos culturales,Spain,linkedin,Senior Analytics Manager,Airalo,,2026-04-17,,,,https://www.linkedin.com/jobs/view/4402749212,
content manager editorial,Spain,linkedin,"Content Associate, Enterprise (Academy Team)",Semrush,,2026-04-16,,,,https://www.linkedin.com/jobs/view/4390498168,
marketing editorial Colombia,Colombia,linkedin,Digital Marketing Intern,Yuxi Global powered by Veritas Automata,"Medellín, Antioquia, Colombia",2026-04-16,,,,https://www.linkedin.com/jobs/view/4378947533,
responsable contenidos culturales,Spain,linkedin,"Senior Manager Field Medical Affairs, South Center",Regeneron,,2026-04-16,,,,https://www.linkedin.com/jobs/view/4402303366,
responsable contenidos culturales,Spain,linkedin,"Senior Manager Field Medical Affairs, North Center",Regeneron,,2026-04-16,,,,https://www.linkedin.com/jobs/view/4402300494,
responsable contenidos culturales,Spain,linkedin,"Senior Manager Field Medical Affairs, East",Regeneron,,2026-04-16,,,,https://www.linkedin.com/jobs/view/4402194637,
responsable contenidos culturales,Spain,linkedin,"Regional Access & Accounting Senior Manager Galicia, Asturias y Cantabria",Almirall,"A Coruña, Galicia, Spain",2026-04-15,,,,https://www.linkedin.com/jobs/view/4379669313,
diseñadora gráfica libros,Spain,linkedin,Amazon Listings Graphic Designer,Trivium Group,,2026-04-15,,,,https://www.linkedin.com/jobs/view/4402276654,
responsable contenidos culturales,Spain,linkedin,Senior/Staff Flutter Engineer (Password Manager),ExpressVPN,,2026-04-14,,,,https://www.linkedin.com/jobs/view/4384988395,
content manager editorial,Spain,linkedin,Creative Marketing Manager (People Product),Revolut,,2026-04-12,,,,https://www.linkedin.com/jobs/view/4369581960,
responsable contenidos culturales,Spain,linkedin,"Senior Manager, Study Activation (EU)",The START Center for Cancer Research,,2026-04-11,,,,https://www.linkedin.com/jobs/view/4377288029,
content manager editorial,Spain,linkedin,Staff Writer Intern (Portuguese Speaker),Fever,"Madrid, Community of Madrid, Spain",2026-04-11,,,,https://www.linkedin.com/jobs/view/4361007879,
content manager editorial,Spain,linkedin,Creative Marketing Manager (People Product),Revolut,,2026-04-11,,,,https://www.linkedin.com/jobs/view/4369592347,
marketing editorial Colombia,Colombia,linkedin,Motion Graphic Designer,The Global Talent Co.,,2026-04-09,,,,https://www.linkedin.com/jobs/view/4400295369,
content manager editorial,Spain,linkedin,Content & Editorial Director - Print Publication (Municipal Audience),Town Web Design,,2026-04-09,,,,https://www.linkedin.com/jobs/view/4400222122,
diseñadora gráfica libros,Spain,linkedin,Graphic Designer,The Roadmap,"Madrid, Community of Madrid, Spain",2026-04-09,,,,https://www.linkedin.com/jobs/view/4397637014,
marketing editorial Colombia,Colombia,linkedin,"Full Stack Engineer Typescript, React, Go",RE Partners,,2026-04-09,,,,https://www.linkedin.com/jobs/view/4397617233,
marketing editorial Colombia,Colombia,linkedin,Motion Graphic Designer,The Global Talent Co.,,2026-04-09,,,,https://www.linkedin.com/jobs/view/4400292451,
responsable contenidos culturales,Spain,linkedin,"Senior Manager(m/f/d), Market Access, TMTT, EMEACLA region",Edwards Lifesciences,"Madrid, Community of Madrid, Spain",2026-04-09,,,,https://www.linkedin.com/jobs/view/4398837469,
content manager editorial,Spain,linkedin,Staff Writer Intern (French Speaker),Fever,"Madrid, Community of Madrid, Spain",2026-04-09,,,,https://www.linkedin.com/jobs/view/4398682968,
diseñadora gráfica libros,Spain,linkedin,Exhibition Designer (Exhibition Exp Essential),IQVIA,"Madrid, Community of Madrid, Spain",2026-04-08,,,,https://www.linkedin.com/jobs/view/4399236775,
diseñadora gráfica libros,Spain,linkedin,Exhibition Designer (Exhibition Exp Essential),IQVIA,"Barcelona, Catalonia, Spain",2026-04-08,,,,https://www.linkedin.com/jobs/view/4399252219,
responsable contenidos culturales,Spain,linkedin,"Director, BISO (EMEA)",Foundever,,2026-04-06,,,,https://www.linkedin.com/jobs/view/4397770554,
content manager editorial,Spain,linkedin,Senior Medical Writer - Non-Clinical,Thermo Fisher Scientific,,2026-04-04,,,,https://www.linkedin.com/jobs/view/4397816274,
responsable contenidos culturales,Spain,linkedin,RecOps Manager,Trading 212,,2026-04-02,,,,https://www.linkedin.com/jobs/view/4395328409,
responsable contenidos culturales,Spain,linkedin,People Director,Tucuvi,,2026-04-01,,,,https://www.linkedin.com/jobs/view/4394627512,
diseñadora gráfica libros,Spain,linkedin,Freelance Presentation Designer,Mindrift,,2026-04-01,,,,https://www.linkedin.com/jobs/view/4394976336,
marketing editorial Colombia,Colombia,linkedin,Agentic Content Strategy & Execution Lead,Improvado,,2026-04-01,,,,https://www.linkedin.com/jobs/view/4394314683,
diseñadora gráfica libros,Spain,linkedin,Director de arte,SOMOS Experiences,,,,,,https://www.linkedin.com/jobs/view/4405126024,
marketing editorial Colombia,Colombia,linkedin,"Intake, Admissions & Marketing Coordinator",Emapta Global,,,,,,https://www.linkedin.com/jobs/view/4407596494,
