search_term,search_country,site,title,company,location,date_posted,min_amount,max_amount,currency,job_url,description
diseñadora editorial,Spain,indeed,Head of collecion,THE-ARE,"Manises, VC, ES",2026-04-28,,,,https://es.indeed.com/viewjob?jk=e6066ed3e6826d0a,"**Descripción:**
----------------


Holaaa! Buscamos nuevo talento para nuestro departamento de Diseño.


¡Seguimos creciendo y queremos que formes parte de nuestra historia! Desde que nuestra fundadora R. empezó esta aventura con la idea de crear ropa para chicas jóvenes, con estilazo y ganas de comerse el mundo, no hemos parado de evolucionar.


En THE\-ARE soñamos a lo grande y crecemos aún más. De un pequeño taller en Valencia a un equipo de más de 150 personas, 40 tiendas físicas y una comunidad imparable de 500k seguidores. Nuestras prendas han conquistado desde influencers top hasta la mismísima Infanta Sofía, y seguimos diseñando con la misma ilusión del primer día.


Hasta ahora, hemos trabajado para llevar nuestras colecciones a cada rincón de España, pero como no tenemos límites, estamos poniendo la vista en el horizonte internacional.


Siempre buscamos mentes creativas, con actitud y ganas de marcar la diferencia. Si compartes nuestra pasión por la moda, los retos, y eres de lxs que hacen que las cosas pasen, este es tu sitio.

 **THE\-ARE es una marca para la ‘cool but classy girl in her 20s**’. Trabajamos tres grandes universos: casual, fiesta y eventos. Estamos en búsqueda de nuestrx nuevx Head of Collection de Eventos y Fiesta, con responsabilidad completa sobre el desarrollo de las colecciones — desde el concepto, hasta la ficha técnica, sourcing de materiales y seguimiento del desarrollo, hasta su validación.

 **¿Qué harás en tu día a día?**


Trend forecast

* Analizar pasarelas, publicaciones, redes sociales y cultura actual.
* Anticipar microtendencias e influencias culturales.
* Recomendar direcciones estéticas para futuras colecciones o campañas.
* Crear moodboards: elaborar paneles de referencias estéticas, tejidos, colores, ambientes…
* Identificar oportunidades comerciales y nuevas categorías de producto.

Sourcing

* Seleccionar tejidos principales junto con purchasing.
* Buscar potenciales proveedores en ferias textiles.


Collection construction

* Definir el plan de colección según estrategia comercial y visión artística.
* Colaborar con purchasing para prever precios/márgenes.
* Analizar ventas anteriores y construir la colección con lógica comercial.
* Realizar seguimiento del desarrollo de producto (supervisar fitting, ajustes técnicos, aprobación final de producto)


Design

* Establecer temas, paletas de color, siluetas, materiales y líneas estéticas.
* Coordinar al equipo de diseñadores y asegurar coherencia entre piezas.
* Aprobar bocetos, fichas técnicas iniciales y prototipos clave.
* Revisar fittings y asegurar que las prendas cumplen calidad, fitting y objetivo.
* Cuidar la alineación con ADN, valores y posicionamiento de la marca.

Styling

* Crear looks acordes con la colección que reflejen la idea creativa inicial de campaña.
* Elegir accesorios y calzado según el concepto. Realizar shopping según necesidades.
* Aportar referencias estéticas, moodboards y tendencias visuales al departamento de marketing.
* Asegurar coherencia entre maquillaje, vestuario y peinado.
* Supervisar durante el shooting: asegurar que el look se vea perfecto en cámara.


**Requisitos:**
---------------


* Grado en Diseño de Moda, Diseño Textil o similar.
* Dominio y buen nivel de inglés, mínimo C1, se valorará el conocimiento de otros idiomas.
* Dominio paquete Adobe, se valorará el conocimiento de Clo3D / IA.
* Se valorará especialización en coolhunting, tendencias, diseño sostenible o dirección creativa.
* Mínimo 2/4 años de experiencia en diseño de moda dentro de un equipo creativo de marca.
* Experiencia demostrable en diseño de colecciones completas, desde concepto hasta fitting final.
* Haber participado en shootings/editoriales de moda será muy valorado.

 **THE\-ARE BENEFITS:**

* En THE\-ARE no vienes solo a trabajar: vienes a crecer, inspirarte y disfrutar de lo que haces cada día.
* Confianza y flexibilidad: para que tu vida personal y profesional estén en equilibrio.
* Oficinas con alma: espacios abiertos, estudio de grabación, zonas para desconectar y los atardeceres más increíbles desde tu mesa.
* Retribución flexible: salud, formación y restauración, para que el trabajo también aporte a tu bienestar.
* Moda a tu alcance: disfruta de descuentos del 30% al 70% en todas nuestras colecciones.
* Testers Club: sé la/él primerx en descubrir y probar lo nuevo de THE\-ARE antes que nadie.
* Outfit allowance: viste THE\-ARE en tu día a día y conecta con la marca desde dentro.
* Special Fridays: los viernes no solo molan por la jornada intensiva, sino también porque siempre hay almuerzo gratis. Incluso al que más le gusta teletrabajar viene ese día de forma presencial por el Brunch.
* Jornada intensiva todo el año: Los viernes no se trabaja por la tarde! Tú tiempo libre es igual de valioso que tu tiempo en la oficina."
coordinadora editorial contenido,Spain,indeed,Coordinador/a Redacción 20minutos Barcelona,Henneo,"Barcelona, CT, ES",2026-04-27,,,,https://es.indeed.com/viewjob?jk=a116b3ef4b21a1a5,"En HENNEO, grupo líder en el sector de los medios de comunicación del ámbito nacional, buscamos incorporar en **20minutos** (Barcelona) a un/a redactor/a senior, que ejerza las funciones de coordinación de la redacción de Catalunya.



La persona seleccionada deberá contar con experiencia en medios de comunicación de prensa escrita, preferiblemente en periódicos y tener conocimiento sobre la actualidad en Catalunya.





Siendo, sus principales **funciones**:


* Redacción, edición y actualización de noticias para web y papel, cuidando la calidad informativa, el enfoque y los titulares.
* Búsqueda, captación y seguimiento de informaciones de actualidad, de acuerdo con los principios del Código Deontológico del Periodismo.
* Preparación y elaboración de temas propios, así como desarrollo de contenidos.
* Propuesta y planificación de temas a abordar, valorando la relevancia informativa, el enfoque editorial y las fuentes disponibles.
* Clasificación y priorización de los temas en función de su tipología, relevancia y actualidad.
* Coordinación con el equipo de redacción para garantizar coherencia editorial y optimización de contenidos.




**Se ofrece:**


* Pertenecer a un sólido grupo de medios de comunicación y tecnología, con una visión única y en plena expansión.
* Trabajar de la mano de profesionales multidisciplinares con gran motivación, en un ambiente de trabajo innovador y dinámico.
* Estabilidad laboral.
* Jornada completa.
* Incorporación inmediata.
* Sistema de retribución flexible y ventajas para empleados.

  

* Titulación universitaria en Periodismo o Comunicación.
* Amplia experiencia en prensa escrita.
* Conocimiento de CMS.
* Capacidad para detectar temas de interés y enfoques.
* Capacidad de edición de temas.
* Se valorará experiencia, fuentes y conocimiento de la actualidad en Catalunya.




**Competencias necesarias:**


* Trabajo en equipo.
* Comunicación.
* Excelente redacción y capacidad de síntesis.
* Capacidad de edición de temas.
* Organización y planificación."
diseñadora editorial,Spain,indeed,Diseñador/a Gráfico & Digital – The Core School,Grupo Planeta,"Madrid, MD, ES",2026-04-24,,,,https://es.indeed.com/viewjob?jk=9f899a2370177f87,"Desde**Grupo Planeta**estamos buscando un/a **Diseñador/a Gráfico \& Digital** para incorporarse al equipo de Marketing de **The Core School****.**



Buscamos un perfil con criterio creativo y visión estratégica, orientado a negocio, capaz de traducir objetivos de marketing en soluciones visuales efectivas y de convertir el diseño en un verdadero motor de impacto en captación, posicionamiento y experiencia de marca.





**Misión del puesto**



El/la Diseñador/a Interno/a será responsable de liderar y ejecutar la producción creativa y digital de The Core School, asegurando la coherencia y solidez de la identidad visual en todos los puntos de contacto de la marca.



Buscamos un perfil híbrido, con fuerte criterio estético, autonomía en la ejecución y capacidad para aportar una visión estratégica alineada con los objetivos de negocio.





**Responsabilidades principales**



1\. **Diseño Web \& UX/UI**


* Diseñar nuevas secciones, páginas y componentes para la web corporativa (WordPress).
* Dar soporte gráfico y conceptual a landings orientadas a performance y campañas paid.
* Velar por la consistencia visual y la experiencia de usuario en desktop, tablet y mobile.
* Coordinar con proveedores técnicos externos para asegurar una correcta implementación.
* Adaptar materiales de marketing al ecosistema digital, manteniendo coherencia visual entre campañas, site y redes sociales en un contexto de presencia phygital de la escuela.

* **Producción Creativa \& Performance Digital**


* Diseñar y adaptar piezas gráficas para campañas digitales: posts, stories, banners, cabeceras, thumbnails, mailings, carruseles LinkedIn, etc.
* Ejecutar una producción mensual elevada de piezas de performance estáticas, con agilidad y precisión.
* Mantener estándares de calidad visual alineados con los objetivos de captación y notoriedad de marca.
* Optimizar y sistematizar la producción, creando plantillas y librerías gráficas reutilizables.




* **Diseño Editorial y de Eventos**


* Maquetar catálogos, folletos, flyers, presentaciones y otros materiales editoriales corporativos.
* Crear key visuals y materiales gráficos para eventos institucionales, académicos y de marca (roll\-ups, pantallas, photocalls, acreditaciones, etc.).
* Adaptar diseños a múltiples formatos físicos y digitales simultáneamente.
* Coordinar producción e impresión asegurando cumplimiento de plazos y calidad final.




* **Brand Guardian y Coordinación Interna**


* Garantizar la correcta aplicación de la identidad visual de The Core en todos los canales.
* Colaborar con Producto, Social Media y Comunicación para asegurar coherencia entre mensajes, visuales y objetivos estratégicos.
* Proponer evoluciones creativas, optimizaciones de diseño y nuevas ideas visuales que potencien el posicionamiento de la marca.
* Actuar como referente interno en cuestiones gráficas, resolviendo dudas de otros equipos y marcando criterios.

  

**Formación y experiencia**


* Titulación superior en Diseño Gráfico, Comunicación Visual, Publicidad o similar.
* 2\-4 años de experiencia en puestos similares, preferiblemente en departamentos de marketing o agencias creativas.
* Se valorará positivamente experiencia en diseño en instituciones educativas o colaborando con las mismas.
* Experiencia demostrable en diseño digital UX/UI y producción editorial.
* Haber trabajado con múltiples interlocutores y ritmos de entrega exigentes.




**Competencias técnicas**


* Dominio avanzado de **Adobe Creative Cloud** (Illustrator, Photoshop, InDesign).
* Conocimientos de:
* + **Canva**
	+ **Freepik AI**
	+ Maquetación editorial y diseño para impresión.
	+ **Figma** y/o herramientas de prototipado digital.
	+ **WordPress** para interlocución técnica y maquetación básica.




**Competencias personales**


* Alta capacidad de organización, autonomía y priorización de tareas.
* Sensibilidad visual y criterio estético sólido.
* Agilidad y precisión en la ejecución bajo presión.
* Capacidad para trabajar de forma transversal con distintos equipos internos y proveedores externos.
* Proactividad para detectar oportunidades de mejora creativa.




**Impacto esperado del rol**


* Centralizar y profesionalizar la producción gráfica de The Core.
* Ganar velocidad de respuesta sin comprometer la calidad visual.
* Reforzar el posicionamiento de marca con una identidad visual potente y consistente.
* Liberar recursos externos y optimizar costes estructurales en marketing.


asdasdasdasdasd





**Ofrecemos**


* Contrato estable: indefinido y a jornada completa en horario de back office.
* Podrás desarrollarte profesionalmente gracias a nuestros planes de formación y desarrollo de talento interno.
* Descuentos y promociones exclusivas para nuestros empleados (másteres y posgrados, sellos editoriales, coleccionables, Casa del Libro…).
* Un atractivo paquete de beneficios sociales a través del plan de retribución flexible que incluye: tarjeta transporte, tarjeta restaurante, cheque guardería, seguro médico, etc.
* Disponibilidad de lanzaderas desde Madrid centro hasta The Core.




Si eres una persona con capacidad de trabajo en equipo, responsable, dinámica y con ganas de crecer dentro de una gran empresa, ¡esta es tu oportunidad!





*En Grupo Planeta ofrecemos igualdad de oportunidades. Nos comprometemos a tratar todas las candidaturas por igual en función de sus capacidades, logros y experiencia independientemente de su raza, nacionalidad, sexo, edad, discapacidad, orientación sexual, identidad de género o cualquier otra clasificación protegida por la ley.*"
marketing editorial,Spain,indeed,Social Media Manager - ATREVIA Barcelona,Atrevia,"Barcelona, CT, ES",2026-04-24,,,,https://es.indeed.com/viewjob?jk=2ad4eca43b3164ff,"Somos ATREVIA, una consultora estratégica de Atracción, Influencia, Transformación y Anticipación, líder iberoamericana en Comunicación, Marketing y Asuntos Públicos, con presencia propia en 15 territorios y partners en otros 45 países. Contamos con más de 640 profesionales de 30 nacionalidades y una manera única de abordar la comunicación: combinando escucha, estrategia, creatividad y la magia de las mezclas.


Acompañamos a las empresas en la resolución de desafíos complejos, activando movimientos, generando diálogo y guiando decisiones con un enfoque humano y sostenible. Creemos en el poder del compromiso y en un crecimiento que se construye desde la actitud, el propósito y la innovación constante.


ATREVIA. Crecer, creciendo.


Buscamos un/a **Social Media Manager** para los apasionados del mundo digital. Si tienes un mínimo de **4\-5 años de experiencia**, te gustan los retos y la gestión de equipo y proyectos, esta oportunidad es para ti.

**¿Qué harás?**

* Gestión y seguimiento del trabajo diario con cliente y equipos internos, con foco en la gestión de **redes sociales y campañas digitales**.
* Planificación, coordinación y control de **calendarios editoriales y de campañas**: organización de tareas, flujos de aprobación, hitos y entregas para el buen desarrollo del proyecto en social media.
* Redacción de **briefings** digitales (principalmente social media, contenidos y campañas paid), asegurando claridad de objetivos, audiencias, mensajes y requisitos.
* Supervisión de **propuestas creativas y piezas** para redes sociales y campañas digitales, garantizando coherencia con el briefing, la estrategia y el tono de marca, y gestionando rondas de cambios con criterio.
* Soporte continuo al director del área en la definición de **estrategias de social media y paid media**, participando en la planificación y optimización de acciones en canales sociales.
* Coordinación y supervisión de **campañas de Social Ads** (Meta, LinkedIn, X): definición de planteamientos, seguimiento de resultados y optimización en colaboración con el equipo paid.
* Gestión y coordinación de **equipos multidisciplinares** (creativos, contenido y paid media), asegurando la correcta ejecución de las estrategias en redes sociales.
* Control básico de **presupuestos y seguimiento de proveedores** (cuando aplique): estimaciones, control de costes y coordinación de entregables, especialmente en campañas de social y paid.
* Elaboración de **benchmarks y análisis de actividad** en redes sociales (tendencias, competidores, buenas prácticas).
* Apoyo en **reporting**: recopilación de resultados, análisis de KPIs en social media y Social Ads, aprendizajes y propuestas de optimización (en coordinación con el equipo especialista).
**¿Qué buscamos?**

* Experiencia mínima de **4\-5 años gestionando cuentas digitales**, con foco en social media y campañas paid, de los cuáles, mínimo 2 han de ser en agencia.
* Experiencia en gestión de personas y coordinación de equipos de trabajo.
* Conocimientos en **estrategias de social media y ecosistema digital**: canales own, earned y paid, con foco en redes sociales.
* Experiencia en planificación, ejecución y optimización de campañas de **Social Ads** (Meta Ads, LinkedIn Ads, TikTok Ads), orientadas a resultados y performance.
* Dominio de herramientas para la gestión y optimización de social media y medición de resultados: definición de KPI’s, monitorización y reporting.
* Conocimientos en creación y ejecución de estrategias de Social Media y Community Management: Metricool, Meta (IG/FB), LinkedIn, TikTok, X.
* Dominio de **herramientas colaborativas**: Google Drive, Microsoft One, PMO Tools (Trello, Asana).
* Capacidad analítica: comprensión de datos, interpretación de resultados y propuesta de mejoras enfocadas a rendimiento en redes sociales y campañas paid.
* Nivel medio\-alto de inglés (hablado y escrito).
* Habilidades sociales y de comunicación: capacidad para defender propuestas estratégicas y coordinar equipos y clientes con criterio.
**¿Qué ofrecemos?**

* Contratación indefinida.
* Plan de compensación competitivo y flexible.
* Flexibilidad, teletrabajo y jornada intensiva en verano y todos los viernes del año.
* Incorporación a un equipo en crecimiento.
* Formar parte de una compañía reconocida entre las 100 mejores empresas para trabajar, y premiada por su compromiso con el talento femenino.

Buscamos la diferencia, pues en ella está la creatividad y damos la bienvenida a todas las candidaturas con independencia de edad, sexo, raza, creencias, etc. Creemos firmemente que contar con un equipo diverso nos hace ser mejores, por lo que, en los procesos de selección, tomamos las decisiones en base a la experiencia y capacidades de los candidatos/as.


Si crees que este reto puede ser tu próximo paso y te apetece formar parte de un equipo que crece contigo, envíanos tu candidatura.

  

Nos encanta descubrir talento que quiera aprender, proponer y transformar."
marketing editorial,Spain,indeed,Digital Marketing Specialist,Venair,"Terrassa, CT, ES",2026-04-24,,,,https://es.indeed.com/viewjob?jk=871b00f6974e8b6c,"**SOBRE VENAIR**


Venair es una empresa de ingeniería fundada en Barcelona en 1986, especializada en el diseño, fabricación y soporte de soluciones de transferencia de fluidos en silicona. Con presencia internacional y tres divisiones estratégicas — Manufacturing Solutions, Life Science Solutions y Consumer Goods Solutions — trabajamos con las empresas más exigentes del mundo en sectores como pharma, biotech, automoción, alimentación y sistemas eléctricos.


**Ubicación y modalidad de trabajo**  

La posición está basada en nuestras oficinas centrales de Terrassa (Barcelona) y requiere presencialidad diaria (100% onsite).  

Buscamos preferiblemente perfiles residentes en el Vallès Occidental o zonas cercanas con facilidad de desplazamiento diario.

**RESPONSABILIDADES**

**Gestión web y contenidos**

* Gestionar y mantener venair.com: estructura, contenidos, landing pages y páginas de producto.
* Publicar y actualizar contenido técnico en coordinación con los equipos de producto y ventas.
* Garantizar que la web refleja fielmente la identidad y el tono de marca de Venair.
* Supervisar la experiencia de usuario (UX) e identificar oportunidades de mejora continua.

**SEO — Posicionamiento orgánico**

* Definir y ejecutar la estrategia SEO on\-page y off\-page, con foco en tráfico cualificado B2B.
* Realizar auditorías técnicas SEO periódicas y coordinar su implementación con el equipo técnico.
* Investigar palabras clave por segmento (High Performance, Biopharm, Nutrition \& Personal Care, E\&E Systems).
* Monitorizar rankings, tráfico orgánico y conversiones con herramientas analíticas.

**SEM — Publicidad de pago**

* Planificar, ejecutar y optimizar campañas en Google Ads (Search, Display, Shopping si aplica).
* Gestionar presupuestos de paid media con criterio de ROI.
* Realizar tests A/B de anuncios y landing pages para mejorar tasas de conversión.
* Reportar resultados y proponer ajustes de estrategia mensualmente.

**Redes sociales y comunicación digital**

* Gestionar los canales sociales de Venair (LinkedIn principalmente, y otros canales relevantes para el sector).
* Definir el calendario editorial y producir contenido alineado con la estrategia de marca.
* Hacer seguimiento de métricas de engagement, alcance y conversión en redes.
* Coordinar con el equipo de Marketing la coherencia entre comunicación online y offline.

**PERFIL BUSCADO**

**Experiencia y formación**

* Mínimo 3 años de experiencia en posiciones similares de marketing digital.
* Experiencia demostrable en empresas B2B industriales, de ingeniería o manufactura (imprescindible).
* Formación en Marketing, Comunicación, ADE o disciplinas afines.
* Residencia en Vallès Occidental.

**Conocimiento técnico de herramientas**

* CMS: WordPress u otros gestores de contenido web.
* SEO: SEMrush, Ahrefs o similar. Google Search Console. Google Analytics 4\.
* SEM: Google Ads (certificación Google valorada).
* Redes: LinkedIn Campaign Manager y herramientas de programación/analítica social.
* Reporting: capacidad de construir dashboards y leer datos con criterio.

**Competencias clave**

* Pensamiento analítico: tomas decisiones con datos, no con intuiciones.
* Orientación a resultados: un buen informe no te interesa si los números no mejoran.
* Capacidad de comunicar conceptos técnicos de forma clara — tanto en textos web como en posts.
* Autonomía y proactividad: no esperas que te digan qué optimizar.
* Trabajo en equipo con departamentos transversales (ventas, producto, técnico).

**Idiomas**

* Español: nivel nativo o profesional.
* Inglés: nivel alto (B2/C1\) imprescindible — Venair opera en mercados internacionales.
* Otros idiomas europeos: valorados.

**LO QUE OFRECEMOS**

* Contrato indefinido.
* Salario competitivo acorde a la experiencia aportada por el candidato.
* Plan de carrera y desarrollo profesional.
* Horario flexible de lunes a jueves (8:00\-9:00 a 16:45\-17:45\) y jornada intensiva los viernes (8:00 a 14:30\).
* Seguro médico privado con bonificación del 80% por parte de la empresa.
* Clases de inglés con profesor nativo.
* Formación continua en idiomas, producto, herramientas y negocio.
* Eventos corporativos.
* Ambiente de trabajo joven, dinámico y multicultural.

**PROCESO DE SELECCIÓN**


Si tu perfil encaja, el proceso es directo y sin burocracia innecesaria. Revisamos candidaturas, hacemos una primera llamada de contacto, y si avanzamos, una entrevista con el equipo de Marketing y RRHH. En algunos casos podemos pedir una prueba técnica breve."
coordinadora editorial,Colombia,indeed,Coordinador editorial - digital,Axioma Comunicaciones,"Bogotá, CUN, CO",2026-04-23,,,,https://co.indeed.com/viewjob?jk=3fd9bc2a6082852c,"¿Te apasiona el SEO, la analítica y el crecimiento digital?

En Axioma buscamos un/a **Coordinador/a de Contenido Digital** para fortalecer la ejecución del área y potenciar el rendimiento del contenido basado en datos.

**¿Qué harás?**

* Medir y analizar el desempeño del contenido (tráfico, posicionamiento y resultados)
* Gestionar herramientas SEO como Semrush y Ahrefs
* Realizar investigación de keywords y detectar oportunidades de contenido
* Construir reportes de tráfico orgánico, rankings y performance
* Identificar mejoras en contenido existente y proponer acciones
* Asegurar lineamientos SEO y apoyar la optimización continua
* Trabajar de la mano con el equipo de contenido y Head of Growth

**¿Qué buscamos?**

* 2 a 5 años de experiencia en SEO, analítica digital o marketing digital
* Manejo de herramientas como GA4, Search Console, Semrush o Ahrefs
* Capacidad para interpretar datos y convertirlos en acciones
* Perfil analítico, organizado, proactivo y orientado a resultados
* Experiencia trabajando con contenido enfocado en tráfico

Contrato por prestación de servicios (con posibilidad de contrato directo según desempeño)

Salario a convenir

Horario lunes a viernes

Tipo de puesto: Tiempo completo, Freelance

Lugar de trabajo: Empleo remoto"
marketing editorial,Spain,indeed,Strategy & Content Planner,INNOCV SOLUTIONS,"Madrid, MD, ES",2026-04-23,,,,https://es.indeed.com/viewjob?jk=141d2a34e88e85d4,"### ***Who are we?***


We are an international digital consulting firm specialized in driving the evolution of the business models of large and mid\-sized companies. We help our clients improve their competitiveness by connecting strategy, communication, design, technology, and data—always with a practical, impact\-oriented approach.


With more than 2,000 people across different countries, we work on end\-to\-end projects: from strategic definition to implementation, measurement, and continuous optimization. Our focus is on turning data into real business decisions, not just producing reports.

### ***About the role***


We are looking for a **Strategy \& Content Planner** to lead the development and execution of content strategies aligned with business and marketing goals.


You will play a key role in identifying audience needs, planning impactful content, and ensuring consistent delivery across all channels, working closely with cross\-functional teams.

### ***What do we value?***

* 3–4 years of experience in **content planning, digital strategy, or marketing roles.**
* Strong understanding of content strategy, SEO, and digital channels.
* Experience with **analytics tools (**Google Analytics, SEMrush, etc.).
* Strategic mindset with a focus on **performance and KPIs.**
* Strong organizational, communication, and teamwork skills.

### ***What you will do***

* **Define and execute content strategies** aligned with business goals.
* Plan and manage the editorial **calendar** across digital channels.
* Optimize content performance through **SEO and data analysis.**
* **Track KPIs** and continuously improve results based on insights.
* **Collaborate** with internal teams and external partners to deliver high\-quality content.
* **Identify trends and new content opportunities.**

###### **Tools \& Skills**

* **Content \& Strategy:** Editorial planning, storytelling, content strategy.
* **SEO \& Analytics:** Keyword research, performance tracking.
* **Tools:** Google Analytics, SEMrush, CMS platforms.
* **Skills:** Strategic thinking, analytical mindset, communication, organization.

### ***What do we offer you?***


At Alkemy, we work to help people develop their talent in a collaborative, demanding, and stimulating environment where ideas become reality.

* Projects with major national and international brands.
* A data\-driven environment where analytics, BI, media, and technology work in an integrated way.
* Flexibility and a hybrid work model.
* A team culture based on collaboration, autonomy, and continuous learning.


Active participation in the evolution of our services toward more intelligent, automated, and differentiated models, with AI applied to business.

**Would you like to grow with us?**  

If you’re looking for an environment where analytics plays a strategic role, innovation is applied with sound judgment, and data generates real impact…


We look forward to meeting you at Alkemy.

**Loyal to our commitment with diversity and inclusion, we encourage everybody to apply, especially those belonging to underrepresented groups such as LGTBIQ\+ members and those with disabilities..**"
marketing editorial,Spain,indeed,Junior Social Ads Specialist,Grupo Planeta,"Barcelona, CT, ES",2026-04-23,,,,https://es.indeed.com/viewjob?jk=13b925f74285261f,"Desde **Grupo Planeta** estamos buscando incorporar a un/a **Junior Social Ads Specialist** para incorporarse en el equipo del área Digital y RRSS, de una de nuestras divisiones del Grupo.





¿Cuáles serían tus principales funciones?





* Captación de leads para usuarios interesados en realizar un máster o cursos superiores.
* Creación, diseño, implementación, gestión, optimización y seguimiento de campañas en Social Ads (Meta, LinkedIn, TikTok, Pinterest…).
* Elaboración de informes periódicos de resultados, así como estudios y benchmarks de competencia.
* Mantenimiento y dinamización del contenido de la web.
* Apoyo en la definición y consecución del plan de marketing digital.

  

¿Qué nos gustaría ver en tu CV?





* Formación universitaria de grado medio o superior preferiblemente en Marketing, Empresariales, Economía, Publicidad o similares.
* Nivel avanzado en ofimática, especialmente Excel (tablas dinámicas).
* Dominio de Canva para la creación de creatividades, tanto estáticas (imágenes) como dinámicas (vídeos para IG Reels y TikTok).
* Se valora positivamente la experiencia en implementación de campañas de Social Ads (Meta, LinkedIn, TikTok, Pinterest, etc.) con clara orientación a resultados.
* Es deseable el manejo de herramientas de IA y conocimientos de inglés.




Encajarías con nosotros/as si te consideras una persona con...





* Proactividad.
* Capacidad de análisis.
* Habilidades comunicativas.
* Innovación.
* Organización.




¿Qué ofrecemos?





* Contrato indefinido y a jornada completa.
* Podrás desarrollarte profesionalmente gracias a nuestros planes de formación y desarrollo de talento interno.
* Descuentos y promociones exclusivas para nuestros empleados (másters y posgrados, sellos editoriales, coleccionables, Casa del Libro…).
* Un atractivo paquete de beneficios sociales a través del plan de retribución flexible que incluye: tarjeta transporte, tarjeta restaurante, cheque guardería, seguro médico, etc.
* Un ambiente de trabajo dinámico y colaborativo donde podrás poner en práctica tus habilidades y conocimientos.




**Si crees que es tu oportunidad laboral, ¡Te animamos a inscribirte y formar parte de nuestro equipo!**





*En Grupo Planeta ofrecemos igualdad de oportunidades. Nos comprometemos a tratar todas las candidaturas por igual en función de sus capacidades, logros y experiencia* *independientemente de su raza, nacionalidad, sexo, edad, discapacidad, orientación sexual, identidad de género o cualquier otra clasificación protegida por la ley.*"
marketing editorial,Spain,indeed,Prácticas Comunicación | Temas de Hoy,Grupo Planeta,"Barcelona, CT, ES",2026-04-23,,,,https://es.indeed.com/viewjob?jk=c119b312cdd85e36,"Desde **Grupo Planeta** estamos buscando un/a estudiante con interés en el sector editorial para realizar **Prácticas** **de Comunicación** en el equipo de **Temas de Hoy****.**


¿Cuáles serían tus principales funciones?





La persona dará soporte al equipo de prensa y de marketing en tareas como:


* Seguimiento de clipping y creación de la revista de prensa diaria.
* Envío de ejemplares a prensa e influencers.
* Apoyo en la creación de contenidos para redes.
* Redacción y elaboración de notas de prensa.
* Corrección de textos para publicar en prensa.
* Seguimiento de agendas de prensa.

  

¿Qué nos gustaría ver en tu CV?


* Formación en Periodismo, Comunicación, Publicidad o áreas afines.
* Interés por el sector editorial.
* Se valorarán conocimientos del paquete Office y el manejo de herramientas de clipping, Canva o de edición de vídeo.

Encajarías con nosotros/as si te consideras...


* Proactivo/a.
* Resolutivo/a.
* Creativo/a.
* Dinámico/a.
* Flexible.
* Con ganas de aprender.




Si crees que esta es tu oportunidad, ¡no dudes en inscribirte!



¡Te estamos esperando!





*En Grupo Planeta ofrecemos igualdad de oportunidades. Nos comprometemos a tratar todas las candidaturas por igual en función de sus capacidades, logros y experiencia independientemente de su raza, nacionalidad, sexo, edad, discapacidad, orientación sexual, identidad de género o cualquier otra clasificación protegida por la ley.*"
marketing editorial,Spain,indeed,Técnico/a de márketing,Domestiko,"Barcelona, CT, ES",2026-04-22,,,,https://es.indeed.com/viewjob?jk=9d483ccfd41c1134,"Se busca a alguien para encargarse de las estrategias de difusión de una editorial ubicada en Barcelona. La persona seleccionada trabajará a jornada completa, con 40 horas semanales distribuidas de lunes a viernes en horario de mañana, entre las 08:30 y las 18:30, respetando siempre los descansos legales.
  
  

El trabajo consiste en dar a conocer la marca tanto en España como en Latinoamérica, analizando los datos del mercado y creando campañas publicitarias eficaces. Además, se llevará la gestión del marketing digital, creando contenidos para redes sociales, manteniendo la página web y ocupándose de la presencia en otros medios.
  
  

También se realizará marketing presencial, representando a la editorial en ferias, eventos y presentaciones de libros, manteniendo un trato fluido con proveedores y distribuidores para asegurar el buen funcionamiento del negocio.
  
  

* Experiencia previa entre 2 y 3 años trabajando en un equipo de marketing.
* Buscamos a una persona dinámica y proactiva.
* Valorable residencia cercana al puesto de trabajo.


.
  
  

GS en Marketing y Publicidad o similar."
